user_id,role,activity,timestamp
T029,parent,chat_mentor,2025-05-22 03:42:03.596667
P0012,parent,update_profile,2025-02-26 06:05:49.190099
P0860,teacher,login,2025-01-15 16:10:28.277822
S0555,teacher,login,2025-05-05 19:17:15.095829
P0618,student,login,2025-04-23 05:54:15.728254
P0732,teacher,update_profile,2025-03-19 05:27:48.083723
P0370,teacher,update_profile,2025-04-18 18:40:19.699409
P0372,teacher,login,2025-04-03 18:17:44.796374
P0224,teacher,view_dashboard,2025-04-18 22:56:58.490657
P0584,parent,chat_mentor,2025-03-09 18:34:14.318268
T018,teacher,update_profile,2025-03-17 20:49:45.356721
P0408,student,chat_mentor,2025-05-05 07:34:02.316680
S0875,parent,view_report,2025-02-15 04:07:08.477278
S0429,student,update_profile,2025-02-08 00:25:05.781572
P0488,teacher,chat_mentor,2025-01-14 22:55:27.155201
S0478,teacher,view_dashboard,2025-02-20 13:53:02.084072
S0927,teacher,chat_mentor,2025-03-21 19:20:22.090915
S0654,student,view_dashboard,2025-02-03 06:00:11.014212
P0838,teacher,update_profile,2025-05-10 03:30:41.176099
S0315,student,chat_mentor,2025-05-22 08:28:09.577637
S0165,teacher,attempt_quiz,2025-05-20 18:22:36.392515
P0082,student,view_dashboard,2025-03-19 10:21:56.540115
P0628,parent,view_dashboard,2025-02-10 18:11:38.083571
S0057,parent,attempt_quiz,2025-04-24 06:35:09.546077
P0143,parent,view_dashboard,2025-04-23 08:36:52.935153
S0310,parent,attempt_quiz,2025-05-09 14:46:53.507677
S0240,student,attempt_quiz,2025-02-20 17:52:38.954719
P0863,teacher,view_dashboard,2025-02-11 16:13:51.628614
S0087,student,update_profile,2025-04-23 07:17:43.551293
S0651,teacher,view_report,2025-02-03 21:01:40.241626
P0406,parent,chat_mentor,2025-01-10 19:57:57.845529
S0477,teacher,view_dashboard,2025-05-21 00:08:37.338341
S0949,parent,view_report,2025-04-02 03:27:15.944183
P0634,student,view_report,2025-05-02 13:18:19.024650
S0837,student,update_profile,2025-01-17 01:24:34.424018
P0451,teacher,view_report,2025-02-12 11:40:42.312932
P0535,student,login,2025-04-05 04:57:35.804647
S0884,teacher,login,2025-04-12 16:52:53.202287
S0687,parent,attempt_quiz,2025-03-26 07:25:12.861407
P0247,parent,login,2025-04-09 19:26:07.628223
P0294,parent,update_profile,2025-01-28 14:25:08.604969
S0696,student,view_dashboard,2025-01-23 12:00:27.892399
S0420,parent,login,2025-05-22 02:14:41.998162
S0457,parent,update_profile,2025-02-05 02:14:56.305743
P0528,student,login,2025-04-18 18:01:22.357874
S0559,parent,update_profile,2025-03-08 22:30:52.015023
P0715,student,view_report,2025-04-24 07:10:05.687137
P0723,student,login,2025-03-01 16:46:14.677792
P0648,parent,login,2025-01-11 03:03:45.834614
S0363,student,login,2025-02-12 02:09:22.411595
P0916,student,login,2025-03-14 16:14:08.943202
S0763,parent,attempt_quiz,2025-04-25 18:13:10.527859
P0018,parent,login,2025-04-29 17:17:44.210230
P0427,teacher,update_profile,2025-02-12 11:29:05.069914
S0315,teacher,update_profile,2025-01-06 00:55:17.362383
S0855,parent,chat_mentor,2025-05-12 01:13:21.112470
S0823,teacher,login,2025-04-08 13:03:22.836312
S0213,parent,login,2025-05-21 20:36:39.098513
P0058,teacher,attempt_quiz,2025-05-06 13:23:37.607766
P0110,parent,login,2025-01-30 14:41:49.848311
S0798,teacher,attempt_quiz,2025-02-24 12:04:33.694362
P0507,student,view_report,2025-01-09 15:49:54.587226
S0002,student,chat_mentor,2025-03-28 03:04:16.550015
S0364,parent,update_profile,2025-03-28 05:44:49.404386
P0846,teacher,chat_mentor,2025-03-24 13:28:01.453811
P0278,parent,chat_mentor,2025-04-04 19:10:18.947003
S0501,teacher,update_profile,2025-04-01 07:55:29.201514
S0671,parent,chat_mentor,2025-01-05 13:42:25.885605
P0277,teacher,attempt_quiz,2025-02-03 04:33:43.047270
P0907,teacher,view_report,2025-02-27 09:00:02.386059
S0637,parent,login,2025-02-06 15:34:07.099160
P0191,teacher,view_report,2025-04-25 13:32:27.819972
S0265,student,attempt_quiz,2025-03-12 02:00:08.119750
P0319,student,login,2025-01-01 03:25:48.671317
