student_id,quiz_id,subject,score,date,feedback
S0001,e767c93c-b107-4278-9587-596d3975195f,Science,56,2024-11-27,Below average
S0001,2bfe1dd9-ce45-4b5a-b069-690ebbe9c939,English,72,2024-12-08,Excellent
S0001,19553c70-a741-472f-85f1-afffe37eae0e,English,63,2025-04-30,Good progress
S0001,a971a7bb-a340-4944-98fa-3cfc621f6e0c,History,93,2025-01-27,Needs improvement
S0002,ec3f2a70-6c80-4b4a-9ba0-d7fed705467e,Science,86,2025-03-11,Below average
S0002,77a118a4-d4b6-4a1e-8477-f8313f395026,Math,59,2025-04-10,Good progress
S0002,b4684aa0-049f-4267-939d-66c8d00e8108,Math,92,2025-05-24,Good progress
S0002,181c28a1-f820-4259-9b41-ab511475bd13,Science,68,2025-03-16,Excellent
S0002,589034f3-f0b4-401c-a465-05abc4fa239b,Math,75,2024-12-03,Below average
S0002,f476a46d-5d1e-48f3-86e1-8942b2d609d4,History,90,2025-05-08,Good progress
S0003,ca13b529-a601-4327-b023-0873ec198981,English,80,2025-02-01,Excellent
S0003,57311cb7-96c5-4d9e-8a82-b57fd022ab20,Math,48,2025-02-18,Below average
S0003,7ad2ef41-d861-4b90-a640-4198c0ed595a,Economics,67,2025-02-22,Excellent
S0003,9e38691c-0dfa-4a42-ac03-1ade4df798dc,Computer Science,70,2025-03-28,Excellent
S0004,503d1d99-b4f6-4211-abc7-2f7424dd798a,Economics,54,2024-12-26,Below average
S0004,dc8779e8-da46-4935-815e-6cafcbe73957,Economics,64,2025-02-10,Good progress
S0004,c53f327c-75e3-4c9b-b5a7-4ef4163bf295,Math,77,2024-12-30,Needs improvement
S0004,62ba3339-4cd9-4fe5-98cb-2ece84d253e9,English,89,2025-01-31,Excellent
S0004,c4b669c4-4342-4a01-b737-404cef0ff155,English,63,2025-01-06,Needs improvement
S0004,20b57442-94b9-45de-9381-44381801f636,Computer Science,91,2024-12-10,Below average
S0005,9650902a-976a-46bc-b02b-7c7b5098183f,Economics,80,2025-03-27,Good progress
S0005,38091d27-df2c-4742-94a0-cbcca99993a7,English,73,2025-04-30,Good progress
S0005,1b7f22c8-c33c-461a-8ced-6f9a80d6952e,Economics,85,2025-05-12,Needs improvement
S0005,d208713c-7701-4d07-af05-34ff4c3101b4,English,90,2025-03-26,Good progress
S0005,432d1867-f14f-4e45-bc1d-d2a56b2bdaed,English,71,2025-04-19,Good progress
S0005,debeafa5-2875-4fe8-87fd-28a650cf0d8e,Computer Science,95,2025-02-21,Needs improvement
S0005,881cd3ae-0ac6-49e9-ac20-a0ad6cb455d8,Computer Science,45,2025-02-10,Needs improvement
S0005,a15f951b-5c1e-4c96-a504-cf6c66503683,Social Science,75,2024-12-23,Excellent
S0006,63b6a560-269b-406c-8485-8f10fb96abbd,Economics,47,2025-04-21,Below average
S0006,e4fafddc-06c6-482d-b36e-1eaab9631a66,Economics,71,2025-04-25,Good progress
S0006,48ef1f46-17aa-46cd-b828-5b4c24e18e7b,Math,42,2024-11-26,Good progress
S0006,87ee5247-c972-4230-910e-e78b82d85e7d,Social Science,79,2025-01-24,Excellent
S0006,830f21f0-acf2-4631-ab2a-c64ac7ed3180,Math,97,2024-12-17,Needs improvement
S0006,1619ffc5-d2e1-42af-a3dc-285f67edb116,History,95,2025-01-29,Good progress
S0006,99aa8744-8d5d-43d9-a208-21b97540e112,Computer Science,43,2025-05-17,Excellent
S0007,11c06dea-ebc8-4c82-a894-d32d733d23e3,Computer Science,90,2025-05-08,Below average
S0007,2da31aae-d0db-4d78-a8f1-fca9d95ebc15,Computer Science,50,2024-12-25,Below average
S0007,a70d2714-db51-4a3f-b41c-8890445b381a,History,47,2024-12-20,Below average
S0007,6c77f069-1e74-42d3-bf72-b09fcade6c5d,Social Science,77,2025-01-28,Needs improvement
S0007,e7ad871d-ec04-463b-ae54-c81e00220f78,English,53,2025-04-23,Good progress
S0008,c46713fe-9669-46dc-8b10-e1feb5605d79,English,49,2025-03-13,Needs improvement
S0008,117f5f7a-6bc8-45f6-bcb5-15613622f998,Math,52,2025-03-05,Excellent
S0008,603b3b54-e9bf-4732-b968-1fa2f6e1398f,Economics,49,2024-11-24,Below average
S0008,f65e87e5-b12f-4c8d-a1b0-c204b56d2cb3,Economics,40,2025-01-26,Needs improvement
S0008,65f3638b-83ba-44d5-85e2-7f72e027a296,History,57,2025-04-14,Below average
S0008,8ffaa609-fdea-489b-9f0f-1a8d27cac841,Computer Science,64,2024-12-09,Below average
S0008,e37795aa-6e8d-40a5-9082-7004db741c65,Science,82,2025-03-09,Excellent
S0009,d1072c7f-0193-4c64-8082-8f3652750efb,Science,88,2025-02-25,Excellent
S0009,88991b62-f1ef-43e4-9577-9921a65a57c3,History,86,2024-11-24,Below average
S0009,bd8e55e4-7b04-4d7c-b233-b393cb93ca59,Science,54,2024-11-29,Needs improvement
S0009,2805a982-45e9-4b45-b8ef-171b27d15600,History,96,2025-05-23,Good progress
S0009,158db314-b4cc-4325-9b70-0a06c1a305c2,Social Science,73,2025-03-14,Needs improvement
S0009,fcd6bd53-dce2-4488-8f0f-05085e6c16f4,English,98,2024-11-26,Good progress
S0009,388ccfcb-cbb8-4542-9634-d4ac7509a0d2,Computer Science,68,2025-01-16,Excellent
S0010,07ff345d-96fd-4b27-a8fe-21873bfe3c74,Science,96,2025-03-02,Needs improvement
S0010,f0bb264f-bdf9-4b14-ac79-9e8f0b0b435a,Computer Science,90,2025-01-10,Excellent
S0010,84c8081e-aa8e-45d7-9154-936e1ab95bca,Math,77,2025-03-24,Needs improvement
S0010,5acdb9ba-f5d3-4c7b-a275-4a1a5f0d0d8e,Computer Science,86,2025-01-14,Excellent
S0010,810f551f-65b7-40e8-9b91-b4bd98761e3e,Science,90,2025-04-06,Needs improvement
S0011,69d73ede-868e-4b47-b344-57a001ee978a,History,41,2025-05-12,Needs improvement
S0011,0f82bb70-af62-442a-a4a6-990f178ed3ad,Science,52,2025-01-24,Below average
S0011,c31bdda9-a271-4228-bf4c-93e5aee20082,English,96,2025-04-06,Below average
S0011,8739a6c3-d3f0-4638-bac7-78a148a4446c,English,45,2025-04-22,Good progress
S0011,810ef1a1-bf80-4fca-8ac1-d2472dc1a05b,Social Science,49,2025-01-18,Needs improvement
S0011,a1c79cd5-5c79-43fc-98ac-5772f8011753,Math,99,2024-12-11,Needs improvement
S0012,37f039ac-1ab6-4a7a-aa9b-d637ede7de3f,Math,71,2025-04-30,Below average
S0012,3cb47386-3ee7-4b1a-9f81-53293f6b3703,Computer Science,78,2025-02-25,Good progress
S0012,ab75860d-b4ba-402b-9a4d-44e88acd163b,Math,89,2025-05-04,Good progress
S0012,b1a796fe-b263-471a-9e56-8669c58bc576,Computer Science,90,2025-05-21,Below average
S0012,6137be0b-04f4-4d2c-b914-9f9aff4c4f03,Science,78,2025-05-10,Needs improvement
S0012,0400f221-8eac-4037-bea2-3ffe9c73a5d1,English,90,2024-11-25,Needs improvement
S0012,a79601ca-4f4d-4aa2-bcc9-7e350bf8f4fd,Computer Science,76,2025-01-22,Good progress
S0013,40214f46-011b-4fb2-a53f-766d0b56b4e4,Science,86,2024-12-18,Below average
S0013,5c75e72f-6c63-4efb-afe3-8f698366ca1d,Social Science,68,2025-02-16,Needs improvement
S0013,34e98db2-b9d5-4978-9b3b-169d82f0e308,Computer Science,95,2025-04-26,Needs improvement
S0013,c5a23618-0b06-402e-84d6-dd39c360f035,History,81,2025-05-24,Needs improvement
S0013,91efd295-c470-4f87-89bb-846e1bb841cd,Economics,99,2025-01-17,Needs improvement
S0013,b1127ad0-4605-4a8a-a003-7c289bb400d8,Economics,61,2025-02-11,Good progress
S0013,1a8211c4-758c-4f04-ba8e-16fb03fb0547,Math,50,2025-02-01,Below average
S0014,4e56446c-b6bf-4a9c-81a6-2a13dec50eff,Economics,53,2025-04-07,Needs improvement
S0014,5da54778-91fc-43fd-a843-f6fe79295fe0,History,45,2025-01-29,Below average
S0014,08e95811-dc58-4738-8764-e2b4400c19d8,History,84,2025-04-28,Excellent
S0014,3d477894-1db4-4e2e-b542-21e6f090efb3,Science,42,2025-01-11,Good progress
S0014,8b02fbc2-7479-4482-a0fd-69285a3165ef,Social Science,44,2025-05-22,Good progress
S0014,38487479-35e3-42b2-b24e-b260d2a16150,History,42,2025-01-13,Below average
S0014,404a9155-eb4c-4fe8-95c0-4980504dde7f,English,44,2025-05-03,Below average
S0014,90570367-1d0d-44a7-a1f9-dc1d12a11acb,Economics,93,2025-02-18,Excellent
S0015,ac26c88b-5ef2-4201-a25f-b73fe067f0be,History,93,2024-11-26,Good progress
S0015,bc1fb5c5-7d11-4260-abee-4dcdf2cdb9d5,Computer Science,90,2025-02-13,Below average
S0015,59fc0993-7116-4cb4-8a0b-ddf3a58ffb68,English,95,2025-02-22,Good progress
S0015,3e4dc64e-3c27-4bff-b969-4282e3d12716,Social Science,58,2025-01-09,Needs improvement
