student_id,chat_id,date,topic,summary,resolved
S0001,f58859ee-ad8c-412f-a7ad-4d5e4f958034,16/01/2025,History,Board place air feeling store boy hand.,FALSE
S0001,7acf5817-847c-409c-b825-dc24cfc76e92,15/05/2025,History,Term could half traditional success theory energy art.,FALSE
S0001,3e9265bc-c8ce-4862-951a-5851e530a82e,28/12/2024,Artist,Six including near thought commercial ability professional difficult speak PM.,FALSE
S0001,80be79be-a19b-483e-b557-c22478ad1612,26/12/2024,Math,Reality evening dream within court moment within degree contain form anything also plant.,FALSE
S0001,f84c5cd7-fdbf-482e-8a8e-979b9d163fb3,20/02/2025,Social Science,Camera suffer teacher medical arm yeah education piece day respond individual.,TRUE
S0002,bce19f12-e966-4abb-8d26-49e087f05330,26/03/2025,Science,Until reason work allow cover discover something significant mother least color wear.,FALSE
S0002,6dac76c1-064f-429d-ad07-3c02fe3678e0,05/04/2025,English,Speak store student base make hospital form include history American property that trade.,TRUE
S0002,f3795019-dd51-4a69-a2e3-faf489cca79f,03/03/2025,Writer,Care land effect whom support traditional against also price.,FALSE
S0002,f031c73e-f597-48a4-b3c7-7ea1973139f3,28/12/2024,Economics,Break receive thus lawyer worry agency reason expect audience.,TRUE
S0003,22e2dced-6326-4089-b72b-528764903e25,25/01/2025,Science,Goal account social radio power site boy entire stage certain American.,TRUE
S0003,3ae14f0c-1934-4fef-8123-dee090885f20,10/04/2025,Teacher,Then machine only world ago alone reach tend officer house.,FALSE
S0003,76491fe5-012f-4f67-8998-9ecd31736abb,07/02/2025,Science,North hair condition determine the nearly board ok individual energy.,FALSE
S0003,af6bc18f-74ca-4796-9350-e1cc1e1d2eab,14/01/2025,Artist,Idea charge away song nothing cause small himself need material machine back.,TRUE
S0004,7424a687-cb90-4f9a-880f-3ad676a62098,17/01/2025,Writer,Find information blue hand energy own believe yeah prepare rich pressure.,FALSE
S0004,1946c08a-63c1-4928-9e49-aaf04f0907cb,04/01/2025,Scientist,Number cause share employee range laugh actually outside father church international thing.,TRUE
S0004,1ac7517a-1598-4b28-8d60-59735c79388a,01/12/2024,Artist,Rule their thought able my view myself expert spring heavy company.,TRUE
S0004,07b70d13-3db2-453d-985f-0c93ab1e667c,11/01/2025,Science,Half describe require interest year event newspaper pick history send audience suddenly television century.,TRUE
S0004,3b8e3dcc-38c1-42af-b26f-60dd1a82f2fc,28/03/2025,Data Scientist,Rich drive station across too event step my red consider deep.,FALSE
S0005,36e004d0-bdd1-40a8-b331-4ffe2324ad55,07/04/2025,Pilot,Full event next color image respond bar.,FALSE
S0005,67afe503-8629-40bc-95a5-54f6147cdd5e,27/02/2025,Scientist,Section character company west become school article church arrive particular fund.,FALSE
S0005,ca7d131d-bdb3-48bd-9b90-c2da52522113,23/03/2025,Teacher,Dog pretty manager information project laugh guy key fight.,FALSE
S0006,3fee687c-9748-44d8-8ed3-b41d0761524a,14/05/2025,Economics,People attention down another us training gun specific nearly believe development all he.,FALSE
S0006,363606cf-917d-40f8-a09e-07a78f76b4ce,06/04/2025,Lawyer,Behavior ever set benefit maybe face toward carry because me night page.,TRUE
S0006,efd4232e-4cc2-475d-a738-64ca456bcdff,28/01/2025,History,Entire land test available nor eight fall.,TRUE
S0006,b738a61f-cbe9-4fce-bb55-a5321f62d228,29/12/2024,Doctor,Thank less five couple buy it public however bring guess strategy daughter such.,TRUE
S0006,ecf5ca85-669a-41d4-9fd9-bf4eea48913a,27/03/2025,Teacher,Season newspaper audience image yeah buy create front specific writer.,FALSE
S0007,90e79193-069c-4cb3-ba89-ee6fe1ffe199,21/01/2025,Pilot,Tough official election travel career kind through dog main apply term.,TRUE
S0007,a54f8422-97a4-4014-9ec0-bccedbc21a46,29/04/2025,History,Daughter instead there operation cup assume we.,FALSE
S0007,4e9446c7-f7de-4b7d-b96f-a25adfe14250,25/02/2025,Math,Official consumer possible though central rich still.,FALSE
S0008,deea93cc-547e-4224-b005-34bee3a07dec,20/01/2025,Social Science,Cup least mission subject year bit everybody suffer century coach arm less white.,TRUE
S0008,7687a0d4-4a95-45b9-a6bd-c6fcfde5a882,13/04/2025,Artist,Trip model son learn exist play movie camera strong remember.,FALSE
S0008,12bf327a-376f-4561-8266-d288c5c1e1e1,28/02/2025,Math,Camera yet speak team size sell Mrs drug behind such interesting.,TRUE
S0008,85b7a683-e494-4bbb-9c26-54f7fa1ea4ce,24/05/2025,Doctor,Player behind member opportunity traditional send least population evening discussion.,TRUE
S0008,6e1ba06a-f984-49ff-af80-ce07df461f2b,24/01/2025,History,Reason reason trial realize scientist four nearly push look today hair.,TRUE
S0008,14a8c015-eb2e-4b8d-b348-f3a97b21e2ba,01/03/2025,Data Scientist,So yeah manager to government positive all involve member stop.,FALSE
S0009,2b1abd62-ee44-48fb-b65a-a415b9e4b8dd,14/03/2025,Writer,Perhaps growth sing operation same compare measure water hold mind player.,TRUE
S0009,2bb2f1f7-06ec-49a7-8952-c2fb3309db8e,17/02/2025,English,Onto interview billion speech town sure life stop Republican often ten moment.,TRUE
S0009,179983a1-a022-4b9c-86a1-528b3cbc7dbf,13/01/2025,Engineer,Customer financial high somebody stand contain.,FALSE
S0009,28ba1326-68a9-43b4-8b12-a8c04f636eb1,24/11/2024,Teacher,Bit doctor race alone itself sometimes actually history throughout recent huge.,FALSE
S0009,3448fbfd-c41d-4a07-9616-72a316ca2cc8,27/01/2025,Pilot,Six here mention he thing financial.,FALSE
S0010,b8970304-548f-4fd3-87bc-f72650dbe195,14/05/2025,Economics,Bed toward mother clearly arm leave activity so institution occur keep just sport.,TRUE
S0010,29919cfb-7461-4a89-afeb-de3e7b08f8a4,14/12/2024,English,A condition responsibility tax eat experience expert adult so.,TRUE
S0010,60df06f0-3ffe-4168-9c2b-338cffbaca93,14/12/2024,Writer,Can until fall suddenly court find often ball machine generation and I.,FALSE
S0011,be127a70-6d20-460b-9ab4-8e28919c0c64,04/01/2025,Pilot,Its always together direction reality leader contain democratic part.,FALSE
S0011,0d2174f8-bf0c-4d7a-b3ab-db2ce1685383,06/02/2025,English,Only gas science account activity recent green art.,FALSE
S0011,1c9dcac3-34b5-4604-b8b2-2be412ee30b0,07/04/2025,Engineer,Coach society arrive third director hear citizen group wall house thank letter.,TRUE
S0011,b9198127-2c2d-4f2d-ac92-e3aab1ec3f34,31/03/2025,English,Senior alone individual response art run employee sign.,TRUE
S0012,fc4df0d6-7f1b-4561-8a0c-ee4363088336,04/01/2025,Computer Science,By hand likely will how help market old agent half around.,FALSE
S0012,65dab81a-6d3b-4ee2-8a86-2e0888468fcf,09/04/2025,Pilot,Watch address almost land yes decade federal minute effort win agreement become.,FALSE
S0012,fc1fd6c1-17b8-4d0b-acb2-8104f5fce3ec,29/11/2024,Economics,Participant a page professional single sense role keep prepare baby large free.,TRUE
S0012,1f9ce197-7f15-422c-a615-d996d2202a21,11/03/2025,Economics,Customer involve positive well window play.,FALSE
S0012,7a219635-29a3-41b1-9d87-afa43c3f119a,10/12/2024,History,Home people him push degree news somebody realize kid nation suffer hot investment.,FALSE
S0013,300c414b-6c7e-4500-8e45-4667d26de925,31/12/2024,History,Around particularly night left manage street see.,FALSE
S0013,e9fb0061-5596-4be3-aac5-65a74f9f8ed7,27/01/2025,Economics,Research start us occur shake know traditional.,FALSE
S0013,6d5e8127-4110-467a-b662-47727215a8b1,01/01/2025,Scientist,Because out foreign center develop parent which interest force difficult.,FALSE
S0013,491dabeb-a550-4ebc-87a1-6649821be77e,21/02/2025,Engineer,Yet best great just pretty onto particularly religious half throw.,TRUE
S0014,e9d84195-1bf9-461c-9099-f61b8d94f701,19/04/2025,History,Enter water green though policy manage game participant because month by movie lay.,FALSE
