student_id,badge,date_awarded
S0001,Top Performer,2025-04-06
S0001,Consistent Learner,2025-04-07
S0001,Consistent Learner,2024-11-25
S0001,Improved Significantly,2025-04-18
S0002,Top Performer,2025-05-25
S0002,Consistent Learner,2025-01-16
S0002,Improved Significantly,2025-01-21
S0002,Subject Star,2024-12-20
S0003,Consistent Learner,2025-03-29
S0004,Top Performer,2025-02-01
S0005,Quiz Champion,2025-01-25
S0005,Consistent Learner,2025-05-08
S0005,Improved Significantly,2025-02-06
S0005,Top Performer,2025-04-20
S0006,Top Performer,2025-04-14
S0007,Quiz Champion,2024-12-21
S0007,Subject Star,2025-01-26
S0007,Consistent Learner,2024-12-21
S0008,Improved Significantly,2025-05-22
S0008,Consistent Learner,2025-02-26
S0008,Consistent Learner,2024-12-31
S0009,Subject Star,2025-03-03
S0009,Improved Significantly,2025-05-21
S0010,Consistent Learner,2024-11-26
S0010,Top Performer,2025-01-27
S0011,Top Performer,2025-04-30
S0011,Quiz Champion,2025-02-21
S0011,Top Performer,2025-04-06
S0012,Quiz Champion,2025-01-08
S0012,Improved Significantly,2025-03-25
S0012,Improved Significantly,2024-12-28
S0012,Quiz Champion,2025-04-22
S0013,Subject Star,2025-04-15
S0014,Quiz Champion,2025-01-07
S0015,Quiz Champion,2025-01-03
S0015,Quiz Champion,2025-03-23
S0015,Top Performer,2024-12-04
S0016,Improved Significantly,2025-04-15
S0016,Subject Star,2025-03-21
S0016,Quiz Champion,2025-04-02
S0017,Subject Star,2025-01-14
S0017,Improved Significantly,2025-05-23
S0017,Consistent Learner,2025-03-13
S0017,Consistent Learner,2025-02-03
S0018,Top Performer,2025-01-09
S0018,Top Performer,2025-05-15
S0019,Consistent Learner,2025-03-19
S0020,Top Performer,2024-12-23
S0020,Consistent Learner,2025-05-23
S0020,Improved Significantly,2024-12-10
S0020,Quiz Champion,2025-02-15
S0021,Consistent Learner,2025-01-10
S0021,Subject Star,2025-02-24
S0021,Subject Star,2025-02-05
S0022,Top Performer,2024-12-18
S0023,Subject Star,2025-03-07
S0023,Improved Significantly,2025-03-19
S0023,Subject Star,2025-01-11
S0023,Quiz Champion,2025-03-02
S0024,Quiz Champion,2025-04-04
S0025,Quiz Champion,2025-01-24
S0025,Quiz Champion,2025-03-22
S0025,Top Performer,2024-12-19
S0025,Consistent Learner,2025-05-07
S0026,Quiz Champion,2025-02-14
S0026,Consistent Learner,2025-01-06
S0026,Improved Significantly,2025-03-03
S0026,Consistent Learner,2025-02-16
S0027,Improved Significantly,2025-04-25
S0027,Improved Significantly,2024-12-30
S0027,Quiz Champion,2025-01-02
S0028,Improved Significantly,2025-01-02
S0029,Consistent Learner,2024-12-09
S0029,Consistent Learner,2025-05-09
S0029,Subject Star,2025-02-07
S0029,Quiz Champion,2025-03-04
S0030,Consistent Learner,2025-05-24
S0030,Subject Star,2025-03-30
S0031,Improved Significantly,2025-02-02
S0032,Improved Significantly,2025-04-14
S0032,Consistent Learner,2025-05-23
S0032,Subject Star,2025-05-11
S0033,Quiz Champion,2025-05-19
S0033,Quiz Champion,2025-05-20
S0034,Subject Star,2025-03-10
S0034,Subject Star,2025-04-16
S0034,Top Performer,2025-03-07
S0035,Top Performer,2024-11-27
S0035,Subject Star,2025-02-25
S0036,Improved Significantly,2025-04-10
S0037,Subject Star,2025-05-16
S0038,Improved Significantly,2025-05-14
S0038,Subject Star,2024-11-27
S0038,Improved Significantly,2025-01-24
S0039,Top Performer,2025-04-01
S0039,Consistent Learner,2025-05-18
S0039,Subject Star,2025-01-03
S0039,Subject Star,2024-12-10
S0040,Top Performer,2025-02-08
S0040,Quiz Champion,2025-03-13
S0041,Top Performer,2024-12-15
S0041,Improved Significantly,2025-02-04
S0041,Top Performer,2025-04-17
S0041,Subject Star,2024-11-25
S0042,Top Performer,2025-02-19
S0043,Quiz Champion,2025-03-29
S0043,Subject Star,2025-03-03
S0043,Improved Significantly,2025-01-19
S0044,Quiz Champion,2025-01-25
S0045,Subject Star,2025-05-05
S0046,Top Performer,2025-04-10
S0046,Subject Star,2025-04-11
S0046,Subject Star,2025-03-21
S0047,Subject Star,2025-04-25
S0047,Improved Significantly,2025-04-02
S0047,Subject Star,2025-03-25
S0048,Subject Star,2025-03-18
S0048,Quiz Champion,2025-03-17
S0049,Improved Significantly,2024-11-28
S0050,Improved Significantly,2025-03-12
S0050,Top Performer,2024-12-07
S0050,Quiz Champion,2025-03-07
S0051,Improved Significantly,2025-01-27
S0051,Consistent Learner,2025-05-19
S0052,Consistent Learner,2025-01-09
S0052,Quiz Champion,2025-03-17
S0053,Consistent Learner,2025-02-10
S0053,Subject Star,2025-05-07
S0053,Subject Star,2025-03-22
S0053,Improved Significantly,2025-04-23
S0054,Consistent Learner,2025-02-21
S0054,Subject Star,2025-03-07
S0055,Subject Star,2025-04-24
S0055,Quiz Champion,2025-02-13
S0055,Subject Star,2025-03-24
S0055,Subject Star,2025-04-13
S0056,Subject Star,2025-01-09
S0056,Improved Significantly,2024-12-29
S0056,Consistent Learner,2024-12-06
S0056,Top Performer,2025-01-09
S0057,Improved Significantly,2025-05-06
S0057,Quiz Champion,2024-12-16
S0058,Consistent Learner,2025-05-21
S0058,Quiz Champion,2025-04-30
S0059,Consistent Learner,2025-04-23
S0060,Quiz Champion,2025-05-15
S0060,Top Performer,2025-03-23
S0060,Top Performer,2025-05-11
S0061,Subject Star,2025-03-12
