student_id,notif_id,date,audience,notif_type,content
S0001,6c2ba83f-bed1-4102-b4d9-fe793bcc0cf2,2025-01-15,parent,Deadline,Later often thought establish treatment price force work eight.
S0001,e261b414-d234-4564-a6fd-2c9edc72e423,2025-05-13,parent,Reminder,Court stay season follow task such certainly dream center friend many sound.
S0001,398e1a48-27b5-4cca-9d76-a1e4bf697bec,2025-03-30,student,Achievement,Now across political order forget green back find public since.
S0002,606af4b8-e408-478c-9a87-3260e9395e1f,2025-05-02,student,Deadline,Want show gun certain view effect cost story matter pressure follow the.
S0002,3c7e0c90-5d9a-40de-84fd-959cd300eaa6,2024-12-25,student,Deadline,Whom magazine election somebody tough answer seat both nor yet.
S0002,afc6e325-9cc7-4e97-bc13-4107a939f28a,2025-01-11,student,Achievement,Time north today message computer customer office road particular everyone tax.
S0003,993aa06c-eeb1-4cce-bbaf-2a51acf9bd32,2025-05-10,student,Alert,Word smile will none detail local simply west machine upon agent history reason.
S0003,0d8dfb1f-fd46-418c-b4f4-3975fa603955,2025-01-31,parent,Deadline,Notice particular opportunity member impact whose treatment company cost arrive.
S0003,3c828e11-eb5d-491a-916b-2fd11b30d90d,2025-01-10,parent,Alert,How wrong ten former admit item method rise natural financial reason.
S0004,820b4767-b9c9-4a49-a04f-ce16ee3a6946,2024-12-04,student,Reminder,Ten available capital seem dog any finally within reason pass group voice his.
S0004,2ab80208-af7e-4722-9fc2-aa61dbfd8990,2024-12-13,student,Achievement,Share shoulder science trip career lay hand trouble.
S0004,bcee2b1b-b740-47c0-88a8-7daebdce0f82,2025-04-07,student,Alert,Certainly recently officer decision oil truth public important effect cell age carry poor.
S0005,22efa566-c0ea-49a8-828d-44a2fe5b8ec8,2025-02-18,parent,Deadline,Laugh huge a former industry just first.
S0005,d1c09950-1ae9-484a-a13b-549fdece4682,2025-02-10,parent,Deadline,Far such girl buy five mind.
S0006,bdacc0e3-8838-46ea-8751-fc5f431d1c00,2025-04-05,student,Deadline,System education fire economy third tonight this call some picture.
S0006,4110f8c3-0bc9-449e-94c4-e0c254fe0bcd,2025-03-07,student,Reminder,Forget might soon great experience hour tax actually.
S0007,05b0be58-a105-4428-bdee-80f44f6c7985,2025-02-26,student,Alert,Half girl art machine agency even election later maybe.
S0007,2f5a0067-064b-4b2c-8622-03fddce912dc,2025-03-16,parent,Deadline,Myself knowledge skin than by budget Republican.
S0007,52f8acb5-90d8-4fa5-9c0c-31af18aa579b,2025-01-23,parent,Reminder,Bed fund interview score they face cell everyone until PM music.
S0007,f8d1f354-7563-471d-8b5f-6cbe0e50a40e,2025-01-29,parent,Reminder,Send thing model front economic they blood yourself father series significant just.
S0008,906a8618-09c7-4ccd-bdd9-4c3376451777,2024-11-25,parent,Reminder,Century to race improve notice analysis walk cause poor nice.
S0008,a2595075-1579-4383-b7dc-72cf20375b6c,2024-11-25,parent,Alert,Effect modern break protect rest have.
S0009,53c12993-0479-49a5-9b5d-db469cc9c689,2024-12-30,student,Alert,Near candidate across town keep actually our east personal surface degree yourself close.
S0009,eeec0682-c380-4798-ad31-7bc8437a3205,2025-02-21,parent,Achievement,Most religious risk special usually camera vote.
S0010,509872ba-4f31-4062-97eb-a477e01e424e,2024-12-03,parent,Deadline,Whether campaign parent history must return language book section save treat despite particularly.
S0010,8f06e8c1-db2c-486c-bc05-2e20988559c7,2025-01-26,student,Alert,Speak service discuss someone leader prove find.
S0010,5b504851-7411-47d2-8a92-64b92a7e0369,2024-12-06,student,Reminder,Rock red may next somebody owner together artist.
S0011,4a41e01f-90ce-420b-9f02-aaa33bd6c335,2025-03-18,student,Reminder,That interesting article month herself understand service.
S0011,83aca926-0b16-4c9e-9326-03f51121a198,2025-03-25,parent,Achievement,Senior same right tell can reduce PM would.
S0012,846d29ca-8b87-4748-86d7-ebf889adf787,2024-12-07,parent,Achievement,Goal already forget over school site old speech image wind answer easy imagine.
S0012,4108d2e7-4063-4110-b48c-3e9f2aeb69e7,2025-02-08,student,Alert,Year partner example surface time sit eight mention voice smile.
S0013,e8bf3b1f-6330-4730-9997-f27bf12d25d1,2025-03-26,student,Deadline,Pm step performance oil rich process see box.
S0013,ca753b29-122e-417d-9148-954a45da1997,2025-05-04,parent,Deadline,Play nor physical southern game after million rest.
S0013,24e12aec-8bde-4ce0-aaf0-544143b62d7f,2025-04-07,parent,Alert,Phone camera international gun occur quite style where key well join performance if.
S0013,7fe359e4-a507-4f51-82bb-d12e17965d1c,2025-02-19,parent,Alert,Very trouble moment wife occur their assume.
S0014,566f7440-f4e8-4863-ac43-08481cd71fbf,2025-04-03,student,Deadline,Growth base there heavy piece think who.
S0014,6e85e89e-8ec9-41c9-a99b-99e94dbbd29e,2025-05-22,student,Deadline,Have ago economic leave chance dark treatment actually cost morning.
S0014,e2da0f75-7abf-451e-be7d-250618fcae23,2025-03-07,student,Reminder,Cut discover room difficult tonight mind career music.
S0014,5b41b89c-dd19-46de-b9fe-3f4fc0abb12a,2024-12-21,parent,Achievement,Many court leader different pressure understand live away decade himself.
