student_id,parent_id,teacher_id,msg_id,date,sender,message
S0001,P0001,T007,b2ea8912-0931-4906-94e4-395c414a80ee,2025-04-09,parent,Spend upon every show including reality more.
S0002,P0002,T030,60f3147c-6b18-4359-b6f5-7324e3a0d370,2025-05-23,parent,Lot fund others range might gas check technology bed certainly mouth born military it staff.
S0002,P0002,T030,cb91c6f8-6ac6-4eff-b9ca-a144b2be66c5,2025-04-11,parent,Analysis want message rich court foot candidate big story begin.
S0002,P0002,T030,dc4788c8-3489-4f8a-b5f9-f99ddcebfa2b,2025-02-03,parent,Answer successful feeling page trial term either husband drug detail reality health charge where whom phone.
S0003,P0003,T023,38dc38c1-094a-4e0a-bc46-48e4dbe81e8d,2025-03-03,parent,Wall pick grow dream sign successful build group product woman rule sister positive.
S0004,P0004,T019,2cb99e2e-0d22-4f36-bbaf-5c03cb19b4c8,2025-04-03,teacher,Indicate activity respond require minute day thus degree get television present consider.
S0004,P0004,T019,4d3cecc9-9422-4fb8-9b5b-ddc4a7522bee,2024-12-03,parent,Win financial attorney fall mother mean despite that main bad pretty anything return hear gun behind.
S0004,P0004,T019,40f410ad-bd89-4b74-93b1-6cf799a4aaf9,2024-11-29,teacher,Interview piece although stay foot some friend far.
S0005,P0005,T005,8bd2c350-f2ca-4ca3-a085-71b680e0328c,2025-04-24,teacher,Age meeting about quickly south decision turn participant already interest enjoy enjoy middle factor deal any.
S0005,P0005,T005,ba45b987-bd11-4c67-8ada-054bdd95fb5e,2025-01-14,parent,Commercial moment most health light student again.
S0005,P0005,T005,7a09b7a8-8a17-42ea-a785-2722c7537d35,2024-12-21,teacher,Away reason north everyone property address explain fine then mean.
S0006,P0006,T029,c5aab8cf-d165-44ea-918b-b54ddeb9a916,2025-04-09,teacher,Oil total full health debate cup generation customer could.
S0006,P0006,T029,2837a064-48fe-4c44-bfe4-a5e707465ab2,2025-05-20,teacher,Than go finish population front generation subject memory specific house.
S0007,P0007,T019,88076c48-1561-492b-b9a9-9ec6048cf785,2025-03-31,parent,Capital character world themselves special law commercial environment chance.
