student_id,resource_id,resource_type,subject,usage_time_minutes,access_date
S0001,528a97be-5165-4b75-b167-0a9d1e23ea22,Notes,Science,28,2025-01-25
S0001,43ca3a2a-d12f-4c60-962e-de5f3cb60a88,Article,English,8,2025-03-02
S0001,20c41438-4c8b-4a24-9f50-f04892a94910,Flashcards,Science,11,2025-03-17
S0001,1336f9e9-e646-4fa0-94ed-29a045b830ac,Article,Math,27,2025-03-06
S0001,ad2977dc-7617-4b39-a236-f88e686123a8,Notes,Social Science,23,2025-04-03
S0001,9be27fba-f5f1-4734-a976-05068e0d5eb0,Past Paper,Math,22,2025-03-20
S0002,13f09aaa-cee3-4e37-a11c-c0a5102cd88f,Video,Economics,5,2025-03-12
S0002,4e07756e-ae79-46c0-b398-88eb056b9fce,Notes,English,14,2025-02-04
S0002,9008aace-008c-4787-b545-036ffe4893b7,Notes,English,24,2025-02-20
S0002,f8314c74-cee9-4934-8103-fb76c368b671,Notes,Math,10,2024-11-28
S0002,354bb948-5f5c-4656-bf54-0013c31d4d2a,Article,Math,23,2025-05-19
S0003,bfed3682-9820-4312-9164-94a30b10d208,Notes,Economics,11,2025-01-21
S0003,598a840c-3a5f-4519-8d1a-6c74a2309de8,Past Paper,Computer Science,26,2025-02-09
S0003,592dd35a-9a9b-43e9-b599-6170b7c665dc,Notes,Math,17,2024-12-19
S0003,84eb4356-f596-4a76-a62f-2ccfb602493c,Past Paper,Math,2,2025-04-06
S0003,a4944ef9-808f-4782-b50e-8c23a0193099,Video,Science,8,2025-02-02
S0004,48e52008-7d1e-47c3-a1f8-232cf84cb45a,Video,English,21,2025-03-17
S0004,8406303e-6828-4086-b933-08c8a5320695,Video,History,28,2025-05-06
S0004,f0fec047-c634-428e-ac52-466cf89092c9,Video,Social Science,15,2025-04-05
S0004,95220f9c-c623-40ac-b867-9cefc485ae83,Past Paper,English,11,2025-03-08
S0004,15bff3fd-6d1e-4ed1-8f46-7513267bb202,Past Paper,Math,5,2025-01-25
S0004,ab5154a4-1c2e-4b88-a637-9e2074bcdcbf,Article,Computer Science,4,2025-01-03
S0004,4dfcfd8c-eb58-40a6-ac87-23c2b622d8d9,Article,History,6,2025-04-18
S0005,60987393-11f8-4f87-84e7-cb1e56bd41fc,Notes,Computer Science,6,2025-04-03
S0005,94a8df16-a890-4f3c-9835-38211864f954,Article,History,22,2025-04-30
S0005,05ce12c5-bee5-4f68-ae2c-4459d03bc6d2,Flashcards,Computer Science,27,2025-01-27
S0006,6fb6999e-1595-419b-b35c-71acec6990ee,Video,Science,11,2025-02-17
S0006,6fcc75eb-d95f-4868-99b1-e4e10ab0130e,Flashcards,Math,9,2025-04-18
S0006,c3394f08-ac32-491c-826e-bb1d78af2a3b,Past Paper,Computer Science,25,2025-04-04
S0006,ccb65fcd-773b-4b73-bd39-a9b775666976,Flashcards,Science,3,2024-12-12
S0006,3da8c107-73ef-4116-a586-65bf271ac515,Article,Economics,18,2025-01-15
S0006,4c1f67c4-8143-4c30-a1c9-addfd6417179,Video,Science,15,2025-03-19
S0007,e5a17466-b7a6-44ce-95f2-d4764b40c2c7,Notes,History,28,2025-04-06
S0007,6670dc02-faa4-467c-9eff-659a178b8a46,Notes,English,17,2025-03-18
S0007,0dad69ab-e184-4813-a261-00ce4d26e506,Video,English,5,2025-04-22
S0007,10ffbb59-97e5-4b2e-868d-f66411cd484d,Past Paper,Computer Science,4,2025-02-12
S0007,59448e0b-bc94-4a27-8bb4-4049977631e2,Flashcards,Economics,16,2025-05-24
S0008,95eab44d-b93c-41f3-bf43-0f476bdec34c,Notes,Science,28,2025-05-03
S0008,3f1cdd93-9e39-4987-b8d2-88e2d0a5f97c,Video,Economics,20,2024-12-27
S0008,8775954a-0ade-488c-8023-ddfc645ffee3,Notes,Social Science,27,2025-01-13
S0008,693056ca-73df-4b9c-b721-bbc1de18d02d,Notes,Computer Science,2,2025-02-21
S0008,16275159-4e3c-418d-8eec-b705130f29c5,Article,Math,13,2025-04-22
S0008,933b009e-3c53-4db3-987d-7893b80ce1b5,Past Paper,Math,3,2025-04-29
S0008,bbe1310a-a4e7-4012-9030-6f9ba3a07939,Video,Social Science,22,2025-02-05
S0009,6b8ffb64-6ea3-4aac-b7cb-0c2befd4b454,Video,Economics,19,2024-12-10
S0009,ba763a17-69ba-411a-af9a-f996bd175557,Flashcards,Economics,20,2025-05-04
S0009,9e45523a-cbfa-4464-b93c-3b35b8b21697,Video,Economics,28,2024-11-30
S0009,56541911-c321-4d34-984c-62ff4a8467ea,Notes,History,26,2025-04-07
S0009,ef128829-7d42-4fce-8f89-6d445eb84c2c,Notes,Science,3,2025-02-27
S0010,6bc2b4ec-602f-437c-b634-0599ed9263bd,Notes,Social Science,18,2024-11-29
S0010,135478bf-c83a-4515-853e-5484addbcb51,Article,Science,2,2025-03-02
S0010,0ff6469e-86bd-4e46-b32f-b042d63277e5,Video,English,7,2025-03-20
S0010,7fc71479-3081-4318-9c26-6615d77a3114,Video,Economics,5,2025-04-09
S0011,045919a9-5623-4e4d-87cd-ee18afedf13b,Article,Economics,8,2024-12-18
S0011,bb37cc5a-0eb2-4cc8-a139-475017c7eeb5,Flashcards,Economics,19,2025-03-16
S0011,5c038f21-8d06-4604-8f61-0b8cdc26d745,Past Paper,Economics,10,2025-04-21
S0011,c000153c-2d37-4292-9bd4-e23b9847999c,Past Paper,English,10,2025-03-22
S0011,f77923d1-f420-4600-ac43-56193b80f4bc,Video,Computer Science,18,2025-02-02
S0011,8c156da2-f2be-424f-bbb8-fd2968527ef9,Video,Social Science,5,2025-01-10
S0012,aab949db-385a-47e5-998a-a64b6db3e4fb,Notes,English,4,2025-02-04
