student_id,aspiration,skill,required_level,current_level
S0001,Engineer,Technical Skills,92,83
S0001,Engineer,Teamwork,78,69
S0001,Engineer,Coding,84,61
S0001,Engineer,Creativity,81,45
S0001,Engineer,Problem Solving,79,53
S0001,Artist,Empathy,75,67
S0001,Artist,Coding,89,80
S0001,Artist,Critical Thinking,74,44
S0001,Artist,Creativity,67,39
S0001,Artist,Teamwork,99,67
S0001,Writer,Empathy,90,54
S0001,Writer,Critical Thinking,63,61
S0001,Writer,Communication,87,67
S0001,Writer,Teamwork,77,43
S0001,Writer,Leadership,100,60
S0001,Lawyer,Research,88,51
S0001,Lawyer,Critical Thinking,80,64
S0001,Lawyer,Problem Solving,64,24
S0001,Lawyer,Leadership,88,62
S0001,Lawyer,Creativity,91,71
S0001,Scientist,Technical Skills,94,55
S0001,Scientist,Creativity,62,34
S0001,Scientist,Teamwork,73,44
S0001,Scientist,Leadership,92,88
S0001,Scientist,Problem Solving,82,45
S0002,Entrepreneur,Teamwork,95,58
S0002,Entrepreneur,Technical Skills,79,56
S0002,Entrepreneur,Research,92,54
S0002,Entrepreneur,Problem Solving,100,76
S0002,Entrepreneur,Critical Thinking,70,45
S0002,Lawyer,Coding,88,62
S0002,Lawyer,Creativity,73,40
S0002,Lawyer,Problem Solving,61,52
S0002,Lawyer,Research,61,31
S0002,Lawyer,Leadership,85,80
S0002,Doctor,Communication,71,64
S0002,Doctor,Creativity,100,62
S0002,Doctor,Leadership,61,21
S0002,Doctor,Technical Skills,81,76
S0002,Doctor,Critical Thinking,95,61
S0002,Teacher,Teamwork,66,34
S0002,Teacher,Communication,68,67
S0002,Teacher,Leadership,91,91
S0002,Teacher,Research,85,61
S0002,Teacher,Technical Skills,98,96
S0002,Artist,Teamwork,74,44
S0002,Artist,Critical Thinking,69,32
S0002,Artist,Research,95,86
S0002,Artist,Problem Solving,84,49
S0002,Artist,Empathy,98,84
S0003,Entrepreneur,Creativity,98,69
S0003,Entrepreneur,Problem Solving,62,47
S0003,Entrepreneur,Leadership,80,78
S0003,Entrepreneur,Technical Skills,86,55
S0003,Entrepreneur,Communication,80,51
S0003,Data Scientist,Coding,82,54
S0003,Data Scientist,Leadership,60,29
S0003,Data Scientist,Creativity,88,73
S0003,Data Scientist,Teamwork,66,56
S0003,Data Scientist,Communication,73,67
S0003,Teacher,Technical Skills,80,52
S0003,Teacher,Empathy,62,40
S0003,Teacher,Coding,68,63
S0003,Teacher,Research,93,63
S0003,Teacher,Critical Thinking,99,61
S0003,Writer,Creativity,76,74
S0003,Writer,Coding,79,56
S0003,Writer,Problem Solving,92,58
S0003,Writer,Technical Skills,73,67
S0003,Writer,Communication,64,45
S0003,Engineer,Teamwork,66,57
S0003,Engineer,Problem Solving,74,54
S0003,Engineer,Research,63,51
S0003,Engineer,Critical Thinking,85,51
S0003,Engineer,Technical Skills,88,81
S0004,Doctor,Technical Skills,97,57
S0004,Doctor,Leadership,88,60
S0004,Doctor,Teamwork,99,71
S0004,Doctor,Empathy,94,91
S0004,Doctor,Critical Thinking,69,55
S0004,Entrepreneur,Problem Solving,78,62
S0004,Entrepreneur,Empathy,86,56
S0004,Entrepreneur,Technical Skills,96,78
S0004,Entrepreneur,Creativity,61,47
S0004,Entrepreneur,Coding,87,60
S0004,Scientist,Problem Solving,68,29
S0004,Scientist,Critical Thinking,80,50
S0004,Scientist,Teamwork,73,42
S0004,Scientist,Creativity,92,79
S0004,Scientist,Research,67,45
S0004,Data Scientist,Empathy,70,32
S0004,Data Scientist,Research,69,41
S0004,Data Scientist,Technical Skills,74,68
S0004,Data Scientist,Creativity,92,67
S0004,Data Scientist,Coding,95,82
S0004,Teacher,Critical Thinking,83,64
S0004,Teacher,Communication,70,56
S0004,Teacher,Teamwork,74,63
S0004,Teacher,Coding,79,74
S0004,Teacher,Problem Solving,84,61
S0005,Artist,Teamwork,76,42
S0005,Artist,Coding,75,38
S0005,Artist,Technical Skills,87,63
S0005,Artist,Research,61,32
S0005,Artist,Leadership,73,54
S0005,Data Scientist,Problem Solving,84,73
S0005,Data Scientist,Leadership,67,45
S0005,Data Scientist,Research,100,64
S0005,Data Scientist,Technical Skills,82,48
S0005,Data Scientist,Communication,78,73
S0005,Pilot,Research,88,88
S0005,Pilot,Problem Solving,81,81
S0005,Pilot,Teamwork,70,60
S0005,Pilot,Creativity,64,32
S0005,Pilot,Critical Thinking,66,41
S0005,Doctor,Empathy,66,52
S0005,Doctor,Coding,79,62
S0005,Doctor,Teamwork,90,66
S0005,Doctor,Technical Skills,63,26
S0005,Doctor,Communication,76,41
S0005,Scientist,Creativity,68,31
S0005,Scientist,Research,68,34
S0005,Scientist,Coding,85,67
S0005,Scientist,Communication,100,85
S0005,Scientist,Critical Thinking,72,71
S0006,Lawyer,Communication,96,59
S0006,Lawyer,Leadership,84,73
S0006,Lawyer,Technical Skills,67,32
S0006,Lawyer,Research,72,46
S0006,Lawyer,Critical Thinking,84,56
S0006,Scientist,Research,87,83
S0006,Scientist,Teamwork,60,52
S0006,Scientist,Leadership,80,55
S0006,Scientist,Creativity,75,58
S0006,Scientist,Empathy,71,69
S0006,Data Scientist,Communication,74,57
S0006,Data Scientist,Empathy,99,62
S0006,Data Scientist,Coding,94,92
S0006,Data Scientist,Technical Skills,64,51
S0006,Data Scientist,Leadership,88,61
