student_id,task_id,subject,status,assigned_date,due_date,completed_date
S0001,36b91da7-8aae-44c1-9c5b-9864e619ae75,Science,Overdue,2025-05-08,2025-05-09,
S0001,5390f32e-2fdc-4aeb-b44e-dd0866622dce,Computer Science,Completed,2024-11-27,2024-12-03,2024-12-03
S0001,0bd7264e-061b-4818-9e02-d030016f144e,History,Completed,2025-03-04,2025-03-15,2025-03-15
S0001,5d87d048-d83b-47ed-a1a4-26878fa281b2,Computer Science,Completed,2025-03-12,2025-03-13,2025-03-13
S0001,08a2c01c-c639-46b2-9804-8d35526a0dfb,English,In Progress,2025-04-09,2025-04-13,
S0001,5498f0d3-cee1-4d7c-82ed-e01f35c9267f,Math,In Progress,2024-12-04,2024-12-18,
S0001,46870b5c-b254-432d-bb76-9a85eb45669b,History,Overdue,2025-04-10,2025-04-18,
S0001,51b49466-0660-4483-9f4a-5a2e8b94ecd5,Economics,Completed,2024-12-06,2024-12-11,2024-12-11
S0002,dab7e28f-3f5a-449b-8bce-6722edd9986a,English,Overdue,2025-02-08,2025-02-11,
S0002,413ef254-50cb-416b-8902-23e4d2ad4467,Science,Completed,2024-12-11,2024-12-16,2024-12-16
S0002,e4df1bf2-bb74-42dd-beb4-6f8991854b65,Math,Overdue,2025-01-10,2025-01-23,
S0002,fd301e25-4094-4f2c-9892-d31ccaaa7869,History,In Progress,2025-04-14,2025-04-28,
S0002,64a54554-710a-43f2-a93e-0bf02eaa3b52,Social Science,Overdue,2025-04-01,2025-04-08,
S0003,c60ed49e-d81a-438f-938c-696a6bb4427e,History,In Progress,2025-03-29,2025-04-03,
S0003,67fa88d8-3306-40ec-a023-58553e4cbdd5,Math,In Progress,2025-03-30,2025-04-04,
S0003,680ef76d-7ab0-43bf-92ab-c99fd20374d1,Social Science,Completed,2024-12-22,2024-12-30,2024-12-30
S0003,3909e944-7142-45b0-a65c-e0253eea6031,Computer Science,Overdue,2025-04-22,2025-05-06,
S0003,a866b738-bf3e-4921-8e10-645d70ccacc8,History,Overdue,2025-02-15,2025-02-22,
S0004,ad09746c-39f1-4cae-9437-b42c918524ad,Science,Overdue,2025-05-11,2025-05-12,
S0004,463a122e-338d-4fb4-adfb-022591a077cf,Math,Completed,2024-12-02,2024-12-06,2024-12-06
S0004,b8eb5a9d-e025-4831-8ae5-a16dc5a0bcd2,Math,Completed,2025-03-02,2025-03-16,2025-03-16
S0004,91744290-026c-4f54-995f-32855b0ca8dc,History,In Progress,2025-03-24,2025-03-30,
S0004,96a16680-2f23-4776-80d7-15df2918cb09,Computer Science,Overdue,2025-02-14,2025-02-22,
S0004,00c6393a-8295-4c31-8df8-79eebe94863a,Computer Science,Completed,2025-03-09,2025-03-17,2025-03-17
S0004,9bbc5882-ff4e-4339-ba44-269831e13c94,Social Science,In Progress,2025-01-26,2025-02-03,
S0004,413a24d0-34e9-4a02-964f-c7f27764eebc,Social Science,Overdue,2025-04-24,2025-04-30,
S0005,7b58a12e-7c9b-4a47-a26a-5f772430ae8e,Science,Completed,2025-01-03,2025-01-07,2025-01-07
S0005,0bbeabd4-ec96-4cc4-b083-595a6097d542,Economics,Overdue,2025-03-02,2025-03-13,
S0005,601a20d9-fb71-4a7f-8d8b-15b2cf0a63ee,Math,Completed,2025-01-22,2025-02-01,2025-02-01
S0005,1676a4e1-4c10-42f6-b0da-3ee282c720de,Social Science,Overdue,2025-03-05,2025-03-11,
